Date_InitialTag,Date_Sampled,TransectName,TransectNum,OldTag,NewTag,Species,Meter,Meters_90,Direction,MaxDiameter,Height,PercentMortality,SampleNum_CoreEtOH,SampleNum_CoreRNA,SampleNum_TEM,Condition,Notes
7/10/22,7/10/22,Jigsaw_Puzzle,3,,46,CNAT,-1,7,left,50,10,25,13,40,3,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,44,OFAV,3.8,2.5,left,65,40,60,14,41,2,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,30,OFAV,14.5,6.2,right,105,45,20,15,42,5,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,28,PSTR,16.3,6.4,right,100,95,30,16,43,4,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,32,PSTR,30.6,3.5,right,55,25,2,1,28,7,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,38,OFAV,34.4,7.6,right,65,25,5,2,29,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,34,CNAT,33.8,7,right,110,25,30,3,30,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,36,PSTR,38,3.5,right,35,25,10,4,31,,,growth anomaly
7/10/22,7/10/22,Jigsaw_Puzzle,3,,40,CNAT,40,3,left,120,55,60,5,32,,,looks like there was physical damage a long time ago
7/10/22,7/10/22,Jigsaw_Puzzle,3,,42,PSTR,34.4,3.3,left,20,10,0,6,33,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,26,CNAT,10.7,2.5,left,65,35,30,17,34,1,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,27,MCAV,3.2,3.5,right,35,38,0,19,46,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,29,SSID,5,0.3,right,40,15,10,20,47,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,31,SSID,10.3,3.2,right,65,40,0,23,50,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,33,PAST,13.2,3.5,right,35,25,0,22,49,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,35,MCAV,13,2,right,25,25,0,21,48,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,37,PAST,16.4,2.5,left,35,5,0,24,52,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,39,PAST,14.9,3.5,left,24,4,0,25,51,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,41,MCAV,29.4,2.5,left,10,22,0,26,53,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,43,SSID,32.4,3.5,left,35,23,0,12,39,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,45,PAST,33.5,1.3,right,35,5,0,11,38,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,47,MCAV,31,3.5,right,35,15,0,10,37,,,
7/10/22,7/10/22,Jigsaw_Puzzle,3,,49,SSID,30.6,1.4,right,35,25,0,27,54,,,
7/8/22,7/9/22,Sailfin,1,,82,CNAT,3.4,2.4,left,50,10,5,38,3,,could be same genotype 81,
7/8/22,7/9/22,Sailfin,1,,81,CNAT,3.4,3.7,left,90,30,5,37,2,,could be same genotype 82,
7/8/22,7/9/22,Sailfin,1,,83,OFAV,5,0.5,left,105,95,1,42,4,,,
7/8/22,7/9/22,Sailfin,1,,98,OFAV,4.3,2,right,50,30,40,26,17,,,
7/8/22,7/9/22,Sailfin,1,,84,PAST,5.9,0.5,left,56,40,10,43,5,,,
7/8/22,7/9/22,Sailfin,1,,85,PAST,6.8,0.3,left,42,10,2,44,6,,mucus sheathing 10%,
7/8/22,7/9/22,Sailfin,1,,86,SSID,9.8,1,left,54,33,10,39,10,,2 small spots of discoloration,
7/8/22,7/9/22,Sailfin,1,,87,OFAV,10.9,2,left,125,85,10,46,8,,excluded lower isolate from diameter,
7/8/22,7/9/22,Sailfin,1,,90,MCAV,17.4,0.2,left,18,32,0,36,23,,,
7/8/22,7/9/22,Sailfin,1,,89,PSTR,17.3,1.7,right,30,40,5,33,22,,,
7/8/22,7/9/22,Sailfin,1,,91,OFAV,20.3,1.3,left,83,65,5,30,24,,one other isolate not included in diameter,
7/8/22,7/9/22,Sailfin,1,,92,OFAV,24.4,3,left,180,70,5,40,27,,,
7/8/22,7/9/22,Sailfin,1,,93,SSID,23.2,4.4,right,37,30,0,34,25,,,
7/8/22,7/9/22,Sailfin,1,,38,PSTR,17.8,6.9,left,46,35,20,50,14,,,
7/8/22,7/9/22,Sailfin,1,,88,MCAV,15.4,5.4,left,66,20,2,41,13,,,
7/8/22,7/9/22,Sailfin,1,,39,SSID,15.3,8.7,left,75,50,1,48,11,,,
7/8/22,7/9/22,Sailfin,1,,37,MCAV,13.3,4.9,left,40,37,5,49,12,,red,
7/8/22,7/9/22,Sailfin,1,,99,OFAV,7.4,4.4,left,45,20,<5,45,7,,,
7/8/22,7/9/22,Sailfin,1,,100,SSID,10.5,4.9,left,44,28,2,47,9,,slight growth anomaly?,
7/8/22,7/9/22,Sailfin,1,,96,PSTR,11.8,4.4,right,30,28,0,28,18,,,
7/8/22,7/9/22,Sailfin,1,,94,MCAV,16.3,3.3,right,40,38,0,29,21,,,
7/8/22,7/9/22,Sailfin,1,,95,MCAV,13.7,3.6,right,35,45,0,32,20,,,
7/8/22,7/9/22,Sailfin,1,,97,SSID,6.6,5.8,right,38,30,2,31,19,,,
7/8/22,7/9/22,Sailfin,1,,40,PAST,23.3,5,left,44,10,2,35,1,,cyano in corner,
7/10/22,7/10/22,Marthas_Finyard,2,,2,MMEA,2.5,0.3,right,60,35,40,28,1,,Healthy,
7/10/22,7/10/22,Marthas_Finyard,2,,4,MCAV,3,0,left,80,50,30,29,2,,,
7/10/22,7/10/22,Marthas_Finyard,2,,6,MMEA,3.8,2,left,35,18,5,30,3,,,
7/10/22,7/10/22,Marthas_Finyard,2,,8,PAST,9.4,4,left,45,10,5,36,9,,,
7/10/22,7/10/22,Marthas_Finyard,2,,10,PAST,9.4,4,left,35,5,2,44,17,,,
7/10/22,7/10/22,Marthas_Finyard,2,,12,MCAV,11.6,1,left,25,25,0,35,8,,,
7/10/22,7/10/22,Marthas_Finyard,2,,14,MMEA,13.9,0.2,left,25,4,0,33,6,,,
7/10/22,7/10/22,Marthas_Finyard,2,,16,SSID,11.9,1,right,55,10,0,31,4,,,
7/10/22,7/10/22,Marthas_Finyard,2,,18,SSID,11.9,2,right,30,5,0,32,5,,,
7/10/22,7/10/22,Marthas_Finyard,2,,20,PAST,14.3,0.1,right,22,3,0,34,7,,,
7/10/22,7/10/22,Marthas_Finyard,2,,22,PAST,18.4,0,right,5,5,0,45,18,,,
7/10/22,7/10/22,Marthas_Finyard,2,,24,MCAV,18.5,1,right,35,25,0,41,14,,,
7/10/22,7/10/22,Marthas_Finyard,2,,41,MCAV,30,4,right,50,,,42,15,,,
7/10/22,7/10/22,Marthas_Finyard,2,,42,SSID,30,4,right,50,,,43,16,,,
7/10/22,7/10/22,Marthas_Finyard,2,,44,MMEA,13.2,5,right,50,,0,55,56,,,
7/10/22,7/10/22,Marthas_Finyard,2,,1,CNAT,0.3,4.4,left,75,65,2,46,19,,,
7/10/22,7/10/22,Marthas_Finyard,2,,3,PSTR,6.7,6,left,80,50,0,47,20,,,
7/10/22,7/10/22,Marthas_Finyard,2,,5,PSTR,22.2,3.3,left,65,46,2,49,22,,,
7/10/22,7/10/22,Marthas_Finyard,2,,7,CNAT,24.5,0.8,left,120,40,10,50,23,,,
7/10/22,7/10/22,Marthas_Finyard,2,,9,OFAV,28.2,0.8,right,80,110,2,38,11,,,
7/10/22,7/10/22,Marthas_Finyard,2,Nail,11,OFAV,24,0.2,right,160,70,5,52,25,,,
7/10/22,7/10/22,Marthas_Finyard,2,,13,PSTR,17.5,1.2,left,45,20,5,48,21,,,
7/10/22,7/10/22,Marthas_Finyard,2,,15,PSTR,26.4,4,left,130,80,10,54,27,,,
7/10/22,7/10/22,Marthas_Finyard,2,,17,CNAT,28,1.4,left,75,30,5,37,10,,,
7/10/22,7/10/22,Marthas_Finyard,2,,19,CNAT,23.5,3.1,right,70,20,5,53,26,,,
7/10/22,7/10/22,Marthas_Finyard,2,,21,OFAV,23.3,0.6,left,130,45,5,51,24,,,
7/10/22,7/10/22,Marthas_Finyard,2,,23,CNAT,35,0.1,left,95,40,30,40,13,,,
7/10/22,7/10/22,Marthas_Finyard,2,,25,PSTR,31.2,0.3,left,130,60,5,39,12,,,
7/11/22,7/11/22,Marthas_Finyard,2,,51,MMEA,0,7,L,15,1,0,57,62,,,
7/11/22,7/11/22,Marthas_Finyard,2,,52,MCAV,1.7,0.2,R,80,38,0,58,63,,,
7/11/22,7/11/22,Marthas_Finyard,2,,53,MCAV,1.7,0.7,R,58,10,0,59,64,,,
7/11/22,7/11/22,Marthas_Finyard,2,,55,MMEA,31.6,11,L,35,22,40,60,65,,,
7/11/22,7/11/22,Marthas_Finyard,2,,56,MMEA,29.4,10,L,22,1,0,61,66,,,
NA,7/12/22,Jigsaw_Puzzle,3,,NA,DLAB,,,,,,,,,6,Next to 44,
,7/12/22,Jigsaw_Puzzle,3,,NA,DLAB,,,,,,,,,8,Right from Start,